,Event timestamp,tokenId,event_type
0,2022-07-27T19:19:45.287342,2925,bid_entered
1,2022-07-27T19:19:43.808452,7834,bid_entered
2,2022-07-27T19:19:35.557487,3314,bid_entered
3,2022-07-27T19:19:33.101607,4139,bid_entered
4,2022-07-27T19:19:29.141953,9996,bid_entered
5,2022-07-27T19:19:28.275892,3243,bid_entered
6,2022-07-27T19:19:27.434399,1637,bid_entered
7,2022-07-27T19:19:23.867403,3080,bid_entered
8,2022-07-27T19:19:22.365738,3086,bid_entered
9,2022-07-27T19:19:21.733150,2839,bid_entered
10,2022-07-27T19:19:20.107914,2964,bid_entered
11,2022-07-27T19:19:17.354310,4099,bid_entered
12,2022-07-27T19:19:15.176274,6946,bid_entered
13,2022-07-27T19:19:15.030918,2661,bid_entered
14,2022-07-27T19:19:08.233207,1602,bid_entered
15,2022-07-27T19:19:06.975204,3899,bid_entered
16,2022-07-27T19:19:04.320750,2929,bid_entered
17,2022-07-27T19:19:02.179245,3058,bid_entered
18,2022-07-27T19:19:00.882987,1463,bid_entered
19,2022-07-27T19:24:47.937591,143,bid_entered
20,2022-07-27T19:24:47.543546,5295,bid_entered
21,2022-07-27T19:24:45.363729,4265,bid_entered
22,2022-07-27T19:24:45.308575,142,bid_entered
23,2022-07-27T19:24:44.333288,6226,bid_entered
24,2022-07-27T19:24:42.402601,141,bid_entered
25,2022-07-27T19:24:42.223619,2681,bid_entered
26,2022-07-27T19:24:42.103051,5760,bid_entered
27,2022-07-27T19:24:39.474362,140,bid_entered
28,2022-07-27T19:24:36.969110,6121,bid_entered
29,2022-07-27T19:24:36.772456,139,bid_entered
30,2022-07-27T19:24:36.760421,4292,bid_entered
31,2022-07-27T19:24:36.300984,5286,bid_entered
32,2022-07-27T19:24:34.738393,2671,bid_entered
33,2022-07-27T19:24:34.226806,138,bid_entered
34,2022-07-27T19:24:31.699148,5418,bid_entered
35,2022-07-27T19:24:31.640941,137,bid_entered
36,2022-07-27T19:24:28.985147,136,bid_entered
37,2022-07-27T19:24:27.436264,2649,bid_entered
38,2022-07-27T19:29:52.011870,1646,bid_entered
39,2022-07-27T19:29:51.584271,8385,bid_entered
40,2022-07-27T19:29:50.179607,4237,bid_entered
41,2022-07-27T19:29:49.503288,4149,bid_entered
42,2022-07-27T19:29:49.402170,1618,bid_entered
43,2022-07-27T19:29:48.788884,8238,bid_entered
44,2022-07-27T19:29:48.144040,8377,bid_entered
45,2022-07-27T19:29:48.044624,6212,bid_entered
46,2022-07-27T19:29:47.644097,8363,bid_entered
47,2022-07-27T19:29:46.693921,1607,bid_entered
48,2022-07-27T19:29:46.079226,8333,bid_entered
49,2022-07-27T19:29:45.285434,7843,bid_entered
50,2022-07-27T19:29:44.313723,7295,bid_entered
51,2022-07-27T19:29:43.748370,1605,bid_entered
52,2022-07-27T19:29:43.518297,4147,bid_entered
53,2022-07-27T19:29:42.131555,8468,bid_entered
54,2022-07-27T19:29:41.979957,7789,bid_entered
55,2022-07-27T19:29:41.296291,4118,bid_entered
56,2022-07-27T19:29:41.076411,1597,bid_entered
57,2022-07-27T19:29:40.168584,7696,bid_entered
58,2022-07-27T19:34:53.752544,3110,bid_entered
59,2022-07-27T19:34:51.202764,3091,bid_entered
60,2022-07-27T19:34:48.481404,3063,bid_entered
61,2022-07-27T19:34:46.775741,5083,bid_entered
62,2022-07-27T19:34:45.580132,3024,bid_entered
63,2022-07-27T19:34:42.779616,3010,bid_entered
64,2022-07-27T19:34:40.007342,3007,bid_entered
65,2022-07-27T19:34:37.278786,3006,bid_entered
66,2022-07-27T19:34:36.991436,4995,bid_entered
67,2022-07-27T19:34:34.679220,3001,bid_entered
68,2022-07-27T19:34:32.115404,2981,bid_entered
69,2022-07-27T19:34:29.342052,2970,bid_entered
70,2022-07-27T19:34:26.488794,2930,bid_entered
71,2022-07-27T19:34:23.540419,2918,bid_entered
72,2022-07-27T19:34:23.079956,4927,bid_entered
73,2022-07-27T19:34:20.581411,2906,bid_entered
74,2022-07-27T19:34:17.597131,2904,bid_entered
75,2022-07-27T19:34:14.544634,2885,bid_entered
76,2022-07-27T19:34:12.769062,7958,created
77,2022-07-27T19:34:11.862653,2862,bid_entered
78,2022-07-27T19:39:56.100961,4387,bid_entered
79,2022-07-27T19:39:53.292741,4373,bid_entered
80,2022-07-27T19:39:50.756097,4365,bid_entered
81,2022-07-27T19:39:47.982008,4340,bid_entered
82,2022-07-27T19:39:45.294828,4338,bid_entered
83,2022-07-27T19:39:42.702231,4324,bid_entered
